id,tweet,emotion,intensity,cleaned_tweet,tokens,y_train_encoded
20537,I'm scared that my coworkers are going to submit me to one of those 'wardrobe makeover' shows.  #fashion,fear,0.5,im scar coworkers go submit one wardrobe makeover show fashion,"['im', 'scar', 'coworkers', 'go', 'submit', 'one', 'wardrobe', 'makeover', 'show', 'fashion']",1
21438,watching my first Cage of Death and my word this is tremendous,fear,0.562,watch first cage death word tremendous,"['watch', 'first', 'cage', 'death', 'word', 'tremendous']",1
40090,Baaarissshhhhh + sad song =  prefect night â€” feeling alone,sadness,0.729,baaarissshhhhh sad song prefect night feel alone,"['baaarissshhhhh', 'sad', 'song', 'prefect', 'night', 'feel', 'alone']",3
10163,Men in rage strike those that wish them best. #rage #emotions #negative #positive #wish #strike #martial #arts #control #believe #best #hope,anger,0.646,men rage strike wish best rage emotion negative positive wish strike martial art control believe best hope,"['men', 'rage', 'strike', 'wish', 'best', 'rage', 'emotion', 'negative', 'positive', 'wish', 'strike', 'martial', 'art', 'control', 'believe', 'best', 'hope']",0
30961,"@CarolynTopol Ciara asks was it a sci-fi movie, Julie &amp; Jen just stare, Claire on her phone, Joey bolts when the cab honks. LMAO #hilarious",joy,0.82,ciara ask scifi movie julie amp jen stare claire phone joey bolt cab honk lmao hilarious,"['ciara', 'ask', 'scifi', 'movie', 'julie', 'amp', 'jen', 'stare', 'claire', 'phone', 'joey', 'bolt', 'cab', 'honk', 'lmao', 'hilarious']",2
30235,@saraandgreg @Airbnb Another happy customer.  #secreteyes,joy,0.611,another happy customer secreteyes,"['another', 'happy', 'customer', 'secreteyes']",2
40226,I have no clue where my charger is... #lost,sadness,0.604,clue charger lose,"['clue', 'charger', 'lose']",3
21777,"@AlZeidenfeld @DavisMattek @FI_GPP_Quotes @LoughyFI @FantasyInsiders terrible handle, but I owe whoever runs it a lot. #GPPHallMonitor",fear,0.406,terrible handle owe whoever run lot gpphallmonitor,"['terrible', 'handle', 'owe', 'whoever', 'run', 'lot', 'gpphallmonitor']",1
11552,@DP3520 lol they are madden tubers u dont know nothing bout madden cuz id smash on you,anger,0.542,lol madden tuber u dont know nothing bout madden cuz id smash,"['lol', 'madden', 'tuber', 'u', 'dont', 'know', 'nothing', 'bout', 'madden', 'cuz', 'id', 'smash']",0
21209,That's an awful miss from Rooney.,fear,0.36,thats awful miss rooney,"['thats', 'awful', 'miss', 'rooney']",1
20025,Super shitting it about this tattoo #nervous,fear,0.88,super shit tattoo nervous,"['super', 'shit', 'tattoo', 'nervous']",1
11312,@katrinadougan_ ive went roght in the huff. Deleted the episode out of anger n everything (regret it now),anger,0.717,ive go roght huff deleted episode anger n everything regret,"['ive', 'go', 'roght', 'huff', 'deleted', 'episode', 'anger', 'n', 'everything', 'regret']",0
30159,What an exhilarating last minute of overtime #WCH2016,joy,0.68,exhilarate last minute overtime wch,"['exhilarate', 'last', 'minute', 'overtime', 'wch']",2
31495,"After soul searching, I'd like to announce that I've chosen @chrissyteigen &amp; @nicolerichie to be my adopted sisters due to their hilarity",joy,0.6,soul search id like announce ive chosen amp adopted sister due hilarity,"['soul', 'search', 'id', 'like', 'announce', 'ive', 'chosen', 'amp', 'adopted', 'sister', 'due', 'hilarity']",2
22205,@_Hallospaceboy_ @DailyGrindhouse  I respect when someone can give a second chance to a movie they aren't a fan of. Why #horror is diverse.,fear,0.375,respect someone give second chance movie arent fan horror diverse,"['respect', 'someone', 'give', 'second', 'chance', 'movie', 'arent', 'fan', 'horror', 'diverse']",1
41413,"*wants body to look a certain way*\n*eats 3 cookies, mac n cheese, kitchen sink, and small neighbor child*",sadness,0.375,want body look certain wayneats cooky mac n cheese kitchen sink small neighbor child,"['want', 'body', 'look', 'certain', 'wayneats', 'cooky', 'mac', 'n', 'cheese', 'kitchen', 'sink', 'small', 'neighbor', 'child']",3
40372,@ManUtd Rooney needs to come off! Absolutely dreadful! ðŸ™ˆðŸ™ˆðŸ™ˆ class goal from @carras16 @carras16 showing why he should be in the team!!,sadness,0.5,rooney need come absolutely dreadful class goal show team,"['rooney', 'need', 'come', 'absolutely', 'dreadful', 'class', 'goal', 'show', 'team']",3
21222,Thanks for ripping me off again #Luthansa â‚¬400 not enough for a one way flight to man from Frk then â‚¬30 for a bag then free at gate ,fear,0.375,thanks rip luthansa enough one way flight man frk bag free gate,"['thanks', 'rip', 'luthansa', 'enough', 'one', 'way', 'flight', 'man', 'frk', 'bag', 'free', 'gate']",1
31041,Gen 8:21 NIVâ€”The Lord smelled the pleasing aroma and said in his heart: â€œNever again will Iâ€¦ lifelong depravity,joy,0.292,gen nivthe lord smell pleasing aroma say heart never lifelong depravity,"['gen', 'nivthe', 'lord', 'smell', 'pleasing', 'aroma', 'say', 'heart', 'never', 'lifelong', 'depravity']",2
11134,@Piggiewhopays lmao! I can only imagine the frown across that face of yours. #Hilarity,anger,0.271,lmao imagine frown across face hilarity,"['lmao', 'imagine', 'frown', 'across', 'face', 'hilarity']",0
31499,@ErinAndrews I â¤ï¸you on DWTS You make my night every show! ðŸ˜˜ ,joy,0.8,dwts make night every show,"['dwts', 'make', 'night', 'every', 'show']",2
